,folder,pdb_file,mol2_file,surflex_score,Ki(nM),IC50(nM),Kd(nM),unique_id,pKi,pIC50,pKd,pK,max_tanimoto_schrodinger,max_tanimoto_merck,max_tanimoto_validation,max_tanimoto_fep_benchmark
0,4DBU_BT9,4DBU.pdb,4DBU-results_50337278.mol2,3.3121,,1500;1520,,4DBU_BT9_4DBU-results_50337278,,"[5.823908740944319, 5.818156412055227]",,5.821032576499773,0.3142857142857143,0.3010752688172043,0.320754716981132,0.3142857142857143
1,4DBU_BT9,4DBU.pdb,4DBU-results_50337279.mol2,5.5365,,940,,4DBU_BT9_4DBU-results_50337279,,[6.026872146400302],,6.026872146400302,0.3083333333333333,0.2777777777777778,0.3333333333333333,0.3191489361702128
2,4DBU_BT9,4DBU.pdb,4DBU-results_50337280.mol2,2.673,,2800;2790,,4DBU_BT9_4DBU-results_50337280,,"[5.552841968657781, 5.554395796726403]",,5.553618882692092,0.2710280373831775,0.282258064516129,0.3939393939393939,0.2978723404255319
3,4DBU_BT9,4DBU.pdb,4DBU-results_50337281.mol2,5.1521,,36;30,,4DBU_BT9_4DBU-results_50337281,,"[7.443697499232712, 7.522878745280337]",,7.483288122256525,0.2424242424242424,0.26875,0.3243243243243243,0.26875
4,4DBU_BT9,4DBU.pdb,4DBU-results_50337282.mol2,6.2171,,54;50,,4DBU_BT9_4DBU-results_50337282,,"[7.267606240177032, 7.301029995663981]",,7.284318117920506,0.2519083969465648,0.3012820512820512,0.2833333333333333,0.3012820512820512
5,4DBU_BT9,4DBU.pdb,4DBU-results_50337283.mol2,6.485,,62;60,,4DBU_BT9_4DBU-results_50337283,,"[7.2076083105017466, 7.221848749616356]",,7.214728530059052,0.3333333333333333,0.2658227848101265,0.336283185840708,0.3333333333333333
6,4DBU_BT9,4DBU.pdb,4DBU-results_50337284.mol2,5.4576,,130;140,,4DBU_BT9_4DBU-results_50337284,,"[6.886056647693163, 6.853871964321762]",,6.869964306007462,0.2909090909090909,0.2692307692307692,0.3057851239669421,0.2950819672131147
7,4DBU_BT9,4DBU.pdb,4DBU-results_50337285.mol2,5.7323,,120;130,,4DBU_BT9_4DBU-results_50337285,,"[6.920818753952375, 6.886056647693163]",,6.903437700822769,0.2519685039370078,0.2692307692307692,0.2735042735042735,0.2692307692307692
8,4DBU_BT9,4DBU.pdb,4DBU-results_50337286.mol2,5.3161,,280,,4DBU_BT9_4DBU-results_50337286,,[6.552841968657781],,6.552841968657781,0.2372881355932203,0.3605442176870748,0.2682926829268293,0.3605442176870748
9,4DBU_BT9,4DBU.pdb,4DBU-results_50337287.mol2,6.1647,,490,,4DBU_BT9_4DBU-results_50337287,,[6.309803919971486],,6.309803919971486,0.2608695652173913,0.297029702970297,0.2773109243697479,0.312
